,name,totalError,hf,refHf,ie,refIe,dipole,refDipole,geomError,hfError,ieError,dipoleError
32,32-H8C3,346.68683352798104,-24.9862228443745,-24.8,12.336332046915636,11.5,0.002221045406697897,0.08,23.421665141460526,-0.1862228443744982,0.8363320469156363,-0.0777789545933021
33,33-C4,1544.9740532198734,271.30613914569346,232.0,9.878069004778792,,1.1266223233316916e-07,,0.0543816008866592,39.306139145693464,,
34,34-H2C4,234.62694172168102,103.1619404624012,113.0,9.985619923836513,10.17,1.5756880696634039e-06,,16.3975562208359,-9.838059537598795,-0.18438007616348706,
35,35-H4C4,202.0544647629533,65.53792953463176,72.8,9.499666992755493,9.1,0.10977399904114164,,16.33054970349484,-7.2620704653682395,0.39966699275549367,
36,36-H4C4,192.60627274122768,71.22240480110302,83.0,9.014334584638961,9.15,2.210321644736482e-06,,10.203334119751077,-11.777595198896975,-0.13566541536103927,
37,37-H6C4,290.85684265151804,33.49865674259229,38.8,9.83774875027798,9.15,0.01575340377329939,,20.758264280414373,-5.301343257407709,0.6877487502779793,
38,38-H6C4,64.58067733562216,28.907517240674945,26.0,9.13798320968695,9.08,1.6669624385265077e-07,,10.563220680288756,2.907517240674945,0.05798320968695059,
39,39-H6C4,374.1955234391546,36.08990252795711,39.5,10.682423053322065,10.2,0.08131122273239969,,26.049704736624665,-3.4100974720428923,0.4824230533220657,
40,40-H6C4,583.2690687170073,24.859668900197658,34.7,10.469692227819452,9.6,1.1985218274207244e-05,,28.66358300876964,-9.840331099802345,0.8696922278194528,
41,41-H6C4,2746.773112963412,63.990784758768335,51.9,9.998767973915553,,0.41192764203910537,0.68,71.71946627296471,12.090784758768336,,-0.2680723579608947
42,42-H6C4,446.64159195358667,30.961067583945002,37.5,9.768142269286479,9.43,0.08209346071873429,0.13,27.983277891686235,-6.5389324160549975,0.33814226928647884,-0.04790653928126572
43,43-H6C4,2276.483508857645,53.71919738875846,58.2,9.719978604921904,,0.4312465384893486,,67.1774652218545,-4.480802611241543,,
44,44-H6C4,458.06271087573106,37.84812420123958,47.9,10.076958080573487,,0.04302119788403567,,26.72162060212762,-10.05187579876042,,
45,45-H7C4,47.773416819193756,206.91183165443096,200.0,16.7138702124407,,2.195659086156077,,,6.911831654430955,,
46,46-H7C4,69.5714281643943,221.34094887674024,213.0,18.098606396163028,,3.0615552283376,,,8.340948876740242,,
47,47-H8C4,303.2926509345445,-0.2988108190015403,-0.2,9.970211715849638,9.7,0.037114015661188667,,24.330287717918676,-0.09881081900154026,0.2702117158496389,
48,48-H8C4,389.4516479410692,-4.378435687498259,-1.9,9.789808395293992,,0.047726010697620606,,27.687867541000852,-2.478435687498259,,
49,49-H8C4,715.2709607181021,-11.970250434560324,6.8,11.806091218046287,10.7,2.402991292213938e-06,,21.936493843733455,-18.770250434560324,1.1060912180462878,
50,50-H8C4,344.56479387686255,-2.0455552465770404,-4.3,9.823459558552175,,0.09347895167898027,,26.056948122549816,2.2544447534229595,,
51,51-H8C4,412.14023465568977,-5.133583187681996,-3.0,9.771521049532552,,4.822585205781262e-05,,28.55128919810559,-2.133583187681996,,
52,52-H9C4,127.37051620969925,187.28585469557797,176.0,18.835960353464877,,1.8156178986631828e-05,,,11.285854695577967,,
53,53-H9C4,482.4977010456261,-10.120886091369208,4.5,9.246015547610565,,0.10254837580853594,,23.18307101955358,-14.620886091369208,,
54,54-H10C4,381.57763852188657,-26.837623052075575,-32.4,12.121188731011447,11.4,0.003076273648554667,,24.438751303505484,5.562376947924424,0.7211887310114466,
55,55-H10C4,448.1759469737513,-29.764607902542675,-30.4,12.209338103027966,11.2,1.1580541342923448e-05,,26.301934652562373,0.6353920974573235,1.0093381030279662,
56,56-H5C5,147.89541298337176,18.891226590962145,21.3,2.136061390276467,,1.1280047770167127e-07,,16.857830444472025,-2.408773409037856,,
