,name,totalError,hf,refHf,ie,refIe,dipole,refDipole,geomError,hfError,ieError,dipoleError
0,0-H1,1512.2688457499703,326.81209897988873,365.7,-0.0,,0.0,,,-38.88790102011126,,
1,1-H1,0.3906268922318557,52.72500151378365,52.1,11.885238807422715,,0.0,,,0.6250015137836513,,
2,2-H2,790.1518481308507,-2.327903805271942,0.0,15.801880792555774,15.4,7.102019298292937e-16,,39.20668042213534,-2.327903805271942,0.40188079255577414,
3,3-C1,1757.4584121503183,388.67794837856434,430.6,18.69582169865042,,0.0,,,-41.922051621435685,,
4,4-C1,0.5554060649695812,170.15474429558066,170.9,9.475821698650424,,0.0,,,-0.7452557044193497,,
5,5-H1C1,0.12358243577829366,142.04845706410413,142.4,9.395803698172045,,1.047688742510466,,,-0.3515429358958784,,
6,6-H2C1,187.22420544981512,105.28014755050064,99.8,9.037921283059912,,1.592278217114015,,17.730887641319985,5.4801475505006465,,
7,7-H2C1,1309.4633328620716,70.23281612959109,99.8,9.913681393920028,,0.48503523506507457,,29.504066527700985,-29.56718387040891,,
8,8-H3C1,446.5454388751439,240.21612529613034,261.0,22.917226546631447,,2.9920828691369675e-06,,5.3992575728503445,-20.783874703869657,,
9,9-H4C1,69.39189022566103,-15.23901307324139,-17.9,13.793656098330224,13.6,2.3381985932751334e-07,,10.822270589782187,2.660986926758609,0.19365609833022468,
10,10-H2C2,166.72090950811048,54.40718024872292,54.3,10.998991788003723,11.4,1.1040126250296942e-07,,17.356766017524638,0.10718024872292631,-0.40100821199627745,
11,11-H3C2,648.9473233346242,261.11331356897347,266.0,18.39150592508156,,0.781116995682415,,35.357251563418934,-4.886686431026533,,
12,12-H3C2,42.02356714124811,55.07210812127729,59.6,9.39001094178279,,0.18004176904890296,,6.5607564008801615,-4.527891878722713,,
13,13-H4C2,576.7024207855077,233.06906417043476,257.0,18.067492318415106,,3.6233942635174833e-08,,2.8329246748680648,-23.930935829565243,,
14,14-H4C2,26.573024642522192,11.354659508740655,12.5,10.150740936075053,10.51,1.9953272050644283e-08,,4.970817297061136,-1.1453404912593452,-0.3592590639249469,
15,15-H4C2,120.74529414287205,84.81107595777513,90.3,8.645777533096656,,1.6064510187586023,,13.462318299725194,-5.488924042224866,,
16,16-H5C2,803.4958292026088,214.47422412771107,216.0,19.592455811583598,,1.9301107227581427,,40.029185282494815,-1.525775872288932,,
17,17-H5C2,518.0102087113281,6.126543993863637,25.0,9.449959997506438,,0.05200651503469347,,17.98904483822103,-18.873456006136365,,
18,18-H6C2,279.81698334143573,-24.039978399026264,-20.0,12.603577991989745,12.0,8.116872509075582e-09,,21.31032231738411,-4.039978399026264,0.603577991989745,
19,19-C3,891.2356632941592,220.11870378351304,196.0,11.071865002396008,11.1,8.899632585893945e-08,,24.877485133682434,24.11870378351304,-0.028134997603991962,
20,20-H3C3,5626.26845003273,268.8464992664438,257.0,19.132240188486286,,6.38873717074129e-08,,104.74663627212928,11.8464992664438,,
21,21-H3C3,561.0296893113784,261.7917391672202,281.0,17.29389146417081,,0.6821931504640577,,19.59961250082646,-19.208260832779786,,
22,22-H4C3,87.43452978270093,40.08497644350129,45.6,9.994447883133114,10.07,1.2183622749342804e-07,,10.62527484046022,-5.515023556498711,-0.07555211686688601,
