H, 0, 1, 3, 5, 7, 8, 9, 10, 12, 13, 14, 16, 17, 18
N, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 12, 13, 14, 16, 17, 18
O, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 12, 13, 16, 17
C, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 12, 13, 14, 16, 17, 18, 19
