N,cpu,gpu
532,81,5
533,85,5
534,82,5
535,82,5
536,82,5
537,83,5
538,83,5
539,84,5
540,84,5
541,86,5
542,86,5
543,86,5
544,86,5
545,87,5
546,87,5
547,88,5
548,89,5
549,88,6
550,96,6
551,90,7
552,90,5
553,90,6
554,91,5
555,92,5
556,92,5
557,92,6
558,93,5
559,93,6
560,95,5
561,94,6
562,95,5
563,95,5
564,96,6
565,98,6
566,97,6
567,98,6
568,98,5
569,99,6
570,99,6
571,99,6
572,100,6
573,103,6
574,101,6
575,101,6
576,102,6
577,103,6
578,103,6
579,103,6
580,104,6
581,105,6
582,105,6
583,106,6
584,106,6
585,107,6
586,107,6
587,108,6
588,108,6
589,110,6
590,109,6
591,110,6
592,117,6
593,111,6
594,112,6
595,113,6
596,113,6
597,114,6
598,114,6
599,115,6
600,115,6
601,116,7
602,116,6
603,117,6
604,117,6
605,118,6
606,118,6
607,119,6
608,120,6
609,120,7
610,120,6
611,123,6
612,122,6
613,122,6
614,123,6
615,124,6
616,124,6
617,125,7
618,125,6
619,126,6
620,126,6
621,131,7
622,128,6
623,144,7
624,129,6
625,130,6
626,130,7
627,131,7
628,131,6
629,133,7
630,133,7
631,133,7
632,134,7
633,135,7
634,135,6
635,136,7
636,138,7
637,138,7
638,138,7
639,138,7
640,139,7
641,139,9
642,141,7
643,141,7
644,141,7
645,143,7
646,143,7
647,144,7
648,146,7
649,145,7
650,145,7
651,149,7
652,147,7
653,149,7
654,148,8
655,149,7
656,149,7
657,150,8
658,151,8
659,152,7
660,152,8
661,154,8
662,153,7
663,155,8
664,154,8
665,156,8
666,156,8
667,157,8
668,158,8
669,161,8
670,159,8
671,161,8
672,160,8
673,161,8
674,162,8
675,167,8
676,163,8
677,166,8
678,164,8
679,165,8
680,166,8
681,167,8
682,168,8
683,168,8
684,169,8
685,170,8
686,170,8
687,171,8
688,171,8
689,173,8
690,173,8
691,174,8
692,175,8
693,176,9
694,176,8
695,178,8
696,178,8
697,179,8
698,179,9
699,181,9
700,180,8
701,184,9
702,186,8
703,183,8
704,184,8
705,185,9
706,186,10
707,186,9
708,187,9
709,188,9
710,189,10
711,190,10
712,190,9
713,191,10
714,192,11
715,192,11
716,193,9
717,195,9
718,194,9
719,196,11
720,197,10
721,198,10
722,199,9
723,199,9
724,200,10
725,200,9
726,201,10
727,202,10
728,203,9
729,204,9
730,205,11
731,205,9
732,207,9
733,207,9
734,208,9
735,209,11
736,209,9
737,211,10
738,211,10
739,212,9
740,213,11
741,214,9
742,216,10
743,215,10
744,216,9
745,217,11
746,218,10
747,219,10
748,220,10
749,220,10
750,222,11
751,222,10
752,223,10
753,226,10
754,226,10
755,227,12
756,231,10
757,229,10
758,231,11
759,230,10
760,233,10
761,232,10
762,234,10
763,237,11
764,235,10
765,241,10
766,237,10
767,237,10
768,240,10
769,244,12
770,242,12
771,240,12
772,241,11
773,248,12
774,245,11
775,248,11
776,246,11
777,246,11
778,248,11
779,248,11
780,252,12
781,250,11
782,253,11
783,253,12
784,253,11
785,257,12
786,278,12
787,260,12
788,257,12
789,259,12
790,261,12
791,261,12
792,264,12
793,263,12
794,264,12
795,264,12
796,267,12
797,265,12
798,268,12
799,267,12
800,275,12
801,270,12
802,271,12
803,273,12
804,273,12
805,277,12
806,279,12
807,277,12
808,277,13
809,281,12
810,284,13
811,283,12
812,282,12
813,284,12
814,282,12
815,286,12
816,289,12
817,287,12
818,288,12
819,288,13
820,292,12
821,293,12
822,295,12
823,293,13
824,295,12
825,299,13
826,298,13
827,297,13
828,299,13
829,301,13
830,307,13
831,301,13
832,302,13
833,304,14
834,304,14
835,307,14
836,308,14
837,310,14
838,340,14
839,315,14
840,315,14
841,317,14
842,313,14
843,319,14
844,317,14
845,322,14
846,319,14
847,318,14
848,322,14
849,326,14
850,330,14
851,326,14
852,329,14
853,326,14
854,328,14
855,337,15
856,349,14
857,332,14
858,341,14
859,333,14
860,334,14
861,337,15
862,341,14
863,338,15
864,348,15
865,351,14
866,362,15
867,349,15
868,355,14
869,347,15
870,352,15
871,380,16
872,383,15
873,365,15
874,378,15
875,376,15
876,360,15
877,363,15
878,358,15
879,362,15
880,369,15
881,360,15
882,364,15
883,370,15
884,364,16
885,374,15
886,370,15
887,404,16
888,383,15
889,373,17
890,375,15
891,377,16
892,382,15
893,377,15
894,377,16
895,392,15
896,377,15
897,405,18
898,395,16
899,405,18
900,386,16
901,404,16
902,404,17
903,401,17
904,392,17
905,453,17
906,395,17
907,388,17
908,395,18
909,398,17
910,395,17
911,400,17
912,402,17
913,401,17
914,404,17
915,404,17
916,405,17
917,408,17
918,406,17
919,406,17
920,411,17
921,414,17
922,415,17
923,422,17
924,420,17
925,419,17
926,420,17
927,417,17
928,426,17
929,426,17
930,425,17
931,425,17
932,426,17
933,429,17
934,430,17
935,430,18
936,436,18
937,429,18
938,432,18
939,438,17
940,433,17
941,452,18
942,454,18
943,455,18
944,458,19
945,454,18
946,458,18
947,449,18
948,450,18
949,456,18
950,450,18
951,453,18
952,452,18
953,462,18
954,467,18
955,462,18
956,464,18
957,468,18
958,465,19
959,473,18
960,471,18
961,470,19
962,476,20
963,482,20
964,471,20
965,480,20
966,495,21
967,476,20
968,500,20
969,484,20
970,490,20
971,486,20
972,495,20
973,492,20
974,487,20
975,506,20
976,499,20
977,502,20
978,499,20
979,504,20
980,497,20
981,509,20
982,502,20
983,517,20
984,518,20
985,514,20
986,517,21
987,510,20
988,527,20
989,514,20
990,524,21
991,523,21
992,527,20
993,523,21
994,532,21
995,538,20
996,532,21
997,530,20
998,539,21
999,551,21
1000,552,21
1000,-1,38
2000,-1,150
3000,-1,366
4000,-1,667
5000,-1,1220
6000,-1,2314
7000,-1,2987
8000,-1,4389
9000,-1,5976
10000,-1,8082
1000,-1,17
2000,-1,96
3000,-1,280
4000,-1,601
5000,-1,1119
6000,-1,1963
7000,-1,3060
8000,-1,4295
9000,-1,6106
10000,-1,8064
