2,1027,0
52,0,0
102,0,0
152,2,0
202,4,0
252,9,1
302,15,2
352,24,3
402,35,2
452,50,3
502,68,4
552,90,6
602,116,6
652,147,7
702,182,9
752,224,15
802,271,12
852,326,14
902,391,16
952,450,23
1002,542,21
2,1166,313
52,0,0
102,0,1
152,2,3
202,4,2
252,9,1
302,15,2
352,23,2
402,35,3
452,50,4
502,68,6
552,90,8
602,117,9
652,146,10
702,183,12
752,223,14
802,270,18
852,326,15
902,407,17
952,452,18
1002,543,26
